CDR,Exudate_Pixel,Label
0.3633,4354,1
0.7252,4788,1
0.285,3345,1
0.2893,5733,1
0.453,3988,1
0.428,5106,1
0.9704,3787,1
0.534,9601,1
0.4102,4196,1
0.2975,4595,1
0.531,5398,1
0.2025,5646,1
0.6252,7496,1
0.6125,5013,1
0.3583,7931,1
0.9769,3224,1
0.635,4515,1
0.3543,3408,1
0.3211,5981,1
0.2055,10871,1
0.1944,8733,1
0.5349,9961,1
0.1441,9552,1
0.0518,6988,1
0.7287,11084,1
0.0603,8330,1
0.3971,10167,1
0.4408,13419,1
0.5017,13672,1
0.6097,10687,1
0.2114,7978,1
0.7077,11510,1
0.0439,9017,1
0.534,11729,1
0.5289,13773,1
0.5696,6817,1
0.2994,10909,1
0.0439,9017,1
0.9831,15233,1
0.9184,6986,1
0.4526,12328,1
0.3164,12604,1
0.926,9753,1
0.5325,14592,1
0.2837,11237,1
0.4777,16033,1
0.1169,8289,1
0.0826,12869,1
0.0769,20523,1
0.1072,10743,1
0.1051,14546,1
0.4064,9383,1
0.1632,10002,1
0.702,11115,1
0.1203,9075,1
0.2544,15116,1
0.4148,19291,1
0.3403,14579,1
0.1143,11864,1
0.1951,7041,1
0.1192,7196,1
0.4983,10303,1
0.3819,8911,1
0.7044,10343,1
0.1189,8522,1
0.1465,12702,1
0.1824,10442,1
0.0974,13433,1
0.3654,10047,1
0.7347,8245,1
0.5184,13096,1
0.9732,15903,1
0.1303,9932,1
0.2178,13878,1
0.2682,9264,1
0.0764,12565,1
0.602,9193,1
0.9667,11464,1
0.5566,10591,1
0.4793,10185,1
0.0415,8622,1
0.1368,12088,1
0.0524,10542,1
0.1354,14300,1
0.2336,9686,1
0.1111,8533,1
0.3086,10061,1
0.2916,11445,1
0.2727,8577,1
0.4253,16012,1
0.4793,10185,1
0.6313,13146,1
0.1587,7398,1
0.3298,13187,1
0.5346,11185,1
0.2838,11579,1
0.3867,14852,1
0.4675,15222,1
0.3102,16470,1
0.3343,11922,1
0.0922,15075,1
0.2932,14002,1
0.0174,11158,1
0.2984,14571,1
0.0846,16017,1
0.3813,18114,1
0.5125,7600,1
0.1521,11387,1
0.5472,12776,1
0.0942,15723,1
0.1188,14650,1
0.4576,15745,1
0.096,9937,1
0.0393,12922,1
0.1131,11936,1
0.3048,15416,1
0.0927,9914,1
0.1565,14546,1
0.0716,7974,1
0.138,16345,1
0.0837,16226,1
0.1318,16058,1
0.1075,16017,1
0.0912,15552,1
0.0897,16018,1
0.1,15743,1
0.0257,7925,1
0.0924,10989,1
0.0654,15363,1
0.1111,11983,1
0.152,15672,1
0.0492,13322,1
0.602,12905,1
0.1101,9161,1
0.1223,11791,1
0.0732,15696,1
0.0363,9247,1
0.1458,17980,1
0.5102,16931,1
0.1146,14341,1
0.3335,14188,1
0.2004,16400,1
0.2474,15261,1
0.0425,9985,1
0.1902,16661,1
0.0637,14450,1
0.2406,15437,1
0.0867,15408,1
0.1674,14505,1
0.0772,15861,1
0.1075,14187,1
0.0847,16427,1
0.25,18430,1
0.0835,16963,1
0.0544,13003,1
0.3496,14803,1
0.2903,9795,1
0.1063,9850,1
0.4521,8815,1
0.4614,8728,1
0.0996,15810,1
0.045,8367,1
0.4659,15544,1
0.1221,15047,1
0.062,8798,1
0.1018,9548,1
0.5625,9139,1
0.1293,14269,1
0.0607,10997,1
0.0631,16985,1
0.629,8643,1
0.1919,10784,1
0.2825,12179,1
0.6233,8973,1
0.64,9975,1
0.7034,9552,1
0.1504,16993,1
0.2587,14465,1
0.5102,11408,1
0.5365,15295,1
0.0926,9634,1
0.0413,8334,1
0.1015,12236,1
0.179,14993,1
0.4705,15255,1
0.2592,14640,1
0.3578,11727,1
0.4253,13733,1
0.4025,13241,1
0.1413,17359,1
0.5566,5944,1
0.6136,11229,1
0.2618,16916,1
0.2459,12854,1
0.5102,13900,1
0.0776,13708,1
0.4972,12589,1
0.5216,14893,1
0.4082,12711,1
0.6119,9944,1
0.2096,14504,1
0.1123,14995,1
0.3824,14028,1
0.0445,7235,1
0.4863,11259,1
0.1041,11279,1
0.1303,17442,1
0.0704,8786,1
0.2799,15475,1
0.1802,11137,1
0.1655,10282,1
0.3765,11789,1
0.089,15163,1
0.4605,10607,1
0.1026,15562,1
0.5642,13744,1
0.3989,12644,1
0.7044,10343,1
0.0554,17039,1
0.1144,14989,1
0.5667,11485,1
0.213,8429,1
0.2236,15217,1
0.3705,14663,1
0.4235,7968,1
0.0631,16182,1
0.4021,12511,1
0.2427,14344,1
0.4356,9229,1
0.5544,13685,1
0.2523,13178,1
0.2692,14240,1
0.0527,8417,1
0.0376,11553,1
0.1385,13428,1
0.0651,9860,1
0.214,12919,1
0.0602,10285,1
0.0639,12314,1
0.1129,11294,1
0.3352,13259,1
0.3521,13765,1
0.0481,6804,1
0.1008,11484,1
0.1837,14909,1
0.4624,10392,1
0.0433,8344,1
0.2893,10446,1
0.2028,10979,1
0.4011,13454,1
0.1204,12843,1
